CHEMIST#appfire#CHEMIST#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1#appfire#\N
COSMETIC#appfire#COSMETIC#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1#appfire#\N
MASS GROCERS#appfire#MASS GROCERS#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1#appfire#\N
PREMIUM GROCERS#appfire#PREMIUM GROCERS#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1#appfire#\N
SELF SERVICE#appfire#SELF SERVICE#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1#appfire#\N
WHOLESALE#appfire#WHOLESALE#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1900-01-01 00:00:00#appfire#-1#appfire#1#appfire#\N
