04B6E5AB-310A-4CB2-82FB-066E7914C0EB#appfire#01.1001.1003.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#authentication#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
0C069074-1E4C-43E9-96F3-394EAD1F5B87#appfire#02.1004.1001.#appfire##appfire#Oct16last.view.usermanagement.roles.RoleManagement#appfire##appfire#1#appfire#0#appfire#Role Feature#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
0DAF5C56-D56B-4A3E-A158-C5E508530B4A#appfire#01.1001.1002.1002.#appfire##appfire#Oct16last.oct16last.web.oct16last.view.contacts.CommunicationGroupMain#appfire##appfire#1#appfire#0#appfire#Communication Group#appfire##appfire#45E84A67-1B54-4582-B335-337012349E84#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
11B9E8FF-4EB3-4F9F-AEAD-21454E01CC37#appfire#02.1004.1002.#appfire##appfire#Oct16last.view.usermanagement.users.UserRoleMainView#appfire##appfire#1#appfire#0#appfire#User Role#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
26156CA7-4A85-4865-9F42-0F8CB2F5E63E#appfire#02.1002.1001.1002.#appfire##appfire#Oct16last.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#Request Details#appfire##appfire#ED1F2FC4-6B75-4AF7-95AE-F26D97338C95#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
29D32C16-9305-4399-ABAE-19A055B8A344#appfire#01.1001.1002.1003.#appfire##appfire#Oct16last.oct16last.web.oct16last.view.contacts.CommunicationTypeMain#appfire##appfire#1#appfire#0#appfire#Communication Type#appfire##appfire#6EC0C05B-AAC0-428E-B42B-72E7BAE27036#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
2A8DE169-80F5-472C-8F3E-0835CF6AB574#appfire#01.1001.1001.1006.#appfire##appfire#Oct16last.oct16last.web.oct16last.view.location.RegionMain#appfire##appfire#1#appfire#0#appfire#Region#appfire##appfire#C980AAD0-A0A5-4A6D-8887-2B57815749DB#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
34D0AF71-6059-430F-9626-9409B9605E08#appfire#02.1002.1001.1003.#appfire##appfire#Oct16last.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#App Server Memory Usage#appfire##appfire#24E33937-BD03-46EB-B1EA-F1E2745C5600#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
3687CF94-195C-4BA1-A645-E3852376CD2D#appfire#01.1001.1001.1010.#appfire##appfire#Oct16last.oct16last.web.oct16last.view.location.VillageMain#appfire##appfire#1#appfire#0#appfire#Village#appfire##appfire#64F45BCF-68CE-4D93-A731-CAF425672802#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
3AE3D1DD-6640-4343-9299-A7DEE48645A6#appfire#02.#appfire##appfire##appfire##appfire#1#appfire#1#appfire#App Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
3B8C715C-FEFF-4D21-9A45-DA38404DFE6A#appfire#01.1001.1004.1002.#appfire##appfire#Oct16last.oct16last.web.oct16last.view.customers.AppCustomerCategoryMain#appfire##appfire#1#appfire#0#appfire#AppCustomer Category#appfire##appfire#5ADB94EB-91FF-4C86-B345-3EF65CFE435B#appfire#1#appfire#null#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#null#appfire#2015-10-16 18:28:47.0#appfire#1#appfire#1#appfire#51000
