047C16D6-5B35-42F4-892B-ECFBA713BADC#appfire#EE693490-7DDB-4ADE-9998-7488720986B9#appfire#txnAccessCode#appfire#INT#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#1#appfire#column seq#appfire#{"DisplayName":"txnAccessCode","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"txnAccessCode"}#appfire#UP95SDFEWQJE8ELTJTKFPG#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#1#appfire#23#appfire##appfire##appfire#0#appfire#1
047D9D01-A5F7-45DA-A220-A68F67107413#appfire#4ECB0211-BF67-4152-923B-FDFF19DD3DD5#appfire#userAccessDomainId#appfire#VARCHAR#appfire#64#appfire#0#appfire#1#appfire#0#appfire#0#appfire#1#appfire#userAccessDomainId#appfire#ast_UserAccessDomain_M#appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"User Access Domain","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"combo","WidgetDisplayName":"ComboBox","MinValue":"0","MaxValue":"64","ErrorMessage":"","Finders":"false","Name":"userAccessDomainId"}#appfire#UP95SDFEWQJE8ELTJTKFPG#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#1#appfire#4#appfire#User Acess#appfire##appfire#0#appfire#1
0491C397-E6CB-462C-88B8-C34B2D805252#appfire#56CF0656-3095-47CD-831F-8DCF82C11034#appfire#createdDate#appfire#DATETIME#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1900-01-01#appfire#1#appfire#column seq#appfire#{"DisplayName":"createdDate","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"datefield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"createdDate"}#appfire#UP95SDFEWQJE8ELTJTKFPG#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#1#appfire#8#appfire##appfire##appfire#0#appfire#1
04A1CC81-FA49-4FD4-9B4C-83BE05991ABE#appfire#8032E98E-9826-4D88-9A08-488E4925E1EB#appfire#gmtLabel#appfire#VARCHAR#appfire#256#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"GMT","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"256","ErrorMessage":"","Finders":"false","Name":"gmtLabel"}#appfire#UP95SDFEWQJE8ELTJTKFPG#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#1#appfire#3#appfire#Geo#appfire##appfire#0#appfire#1
04AA8F25-3F65-49B0-AECC-37FBA332FDAC#appfire#AE8A3455-98EC-4D6D-B415-5B006452C81B#appfire#updatedDate#appfire#DATETIME#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1900-01-01#appfire#1#appfire#column seq#appfire#{"DisplayName":"updatedDate","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"datefield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"updatedDate"}#appfire#UP95SDFEWQJE8ELTJTKFPG#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#1#appfire#15#appfire##appfire##appfire#0#appfire#1
04C4942B-38AA-4580-8687-CAD67C8231D6#appfire#37237180-F948-43AD-8B38-FB1023DE4DE5#appfire#updatedBy#appfire#VARCHAR#appfire#64#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#-1#appfire#1#appfire#column seq#appfire#{"DisplayName":"updatedBy","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"updatedBy"}#appfire#UP95SDFEWQJE8ELTJTKFPG#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#1#appfire#6#appfire##appfire##appfire#0#appfire#1
04CB01F9-F19C-4B16-9EE6-08AF6EA732A0#appfire#4101B875-E28A-45D5-BCC8-B2E18FB1A45B#appfire#stateCode#appfire#INT#appfire#2#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"State Code","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"numberfield","WidgetDisplayName":"NumberField","MinValue":"0","MaxValue":"2","ErrorMessage":"","Finders":"true","Name":"stateCode"}#appfire#UP95SDFEWQJE8ELTJTKFPG#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#1#appfire#4#appfire#State Code#appfire##appfire#0#appfire#1
05467777-5BD6-4B59-8783-9B0F7FFD6B59#appfire#7F63AC3A-278C-4BA7-9D1A-7B4CFD1EA7FD#appfire#txnAccessCode#appfire#INT#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#1#appfire#column seq#appfire#{"DisplayName":"txnAccessCode","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"txnAccessCode"}#appfire#UP95SDFEWQJE8ELTJTKFPG#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#1#appfire#10#appfire##appfire##appfire#0#appfire#1
0566FAEE-4EFD-4022-AC22-EE3073E37A35#appfire#8032E98E-9826-4D88-9A08-488E4925E1EB#appfire#updatedDate#appfire#DATETIME#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1900-01-01#appfire#1#appfire#column seq#appfire#{"DisplayName":"updatedDate","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"datefield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"updatedDate"}#appfire#UP95SDFEWQJE8ELTJTKFPG#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#1#appfire#10#appfire##appfire##appfire#0#appfire#1
059F23E8-0627-4E8D-AF99-27DC3A3C9CA7#appfire#60210E17-77DC-4DFB-9F01-619FAAB6BED7#appfire#countryCode1#appfire#VARCHAR#appfire#3#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Code 1","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"3","ErrorMessage":"","Finders":"true","Name":"countryCode1"}#appfire#UP95SDFEWQJE8ELTJTKFPG#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#1#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#2016-01-18 15:04:29.0#appfire#0#appfire#1#appfire#3#appfire#Country Code#appfire##appfire#0#appfire#1
